movie_id,content_rating_id
1,1
3,2
4,3
5,4
6,5
7,6
9,7
12,8
13,9
14,10
15,11
16,12
17,13
19,14
20,15
21,16
22,17
23,18
24,19
25,20
26,21
27,22
28,23
29,24
30,25
31,26
32,27
34,28
35,29
36,30
37,31
38,32
39,33
40,34
41,35
43,36
44,37
45,38
46,39
47,40
48,41
49,42
50,43
51,44
52,45
53,46
54,47
55,48
56,49
57,50
58,51
