movie_id,country_id
1,1
2,1
3,1
4,1
5,1
6,6
7,1
8,1
9,1
10,1
11,1
12,12
13,12
14,1
15,1
16,1
17,17
18,18
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,30
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,6
41,1
42,42
43,1
44,1
45,6
46,1
47,1
48,17
49,1
50,6
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
