genre_id,name
1,Action
2,Adventure
3,Drama
6,Sci-Fi
16,Comedy
17,Crime
20,Fantasy
27,News
30,Romance
38,Music
40,Animation
43,Short
90,Biography
95,Horror
97,Family
114,Thriller
122,Mystery
